"Вейсфейлер, Борис Юльевич",0,0,0,0,1942,2006,6181,32,49,3,3539,0,7,2,14,1,,,,,,,,,,Вейсфейлер Борис Ю,10,42,2659,,,,
"Векуа, Илья Несторович",1,3,1,1,1907,2008,14546,57,145,9,3361,0,7,42,79,6,,,,,,,,,,Векуа Илья Несторович ,4,16,1394,,,,
"Вентцель, Елена Сергеевна",0,2,0,0,1907,2006,191176,83,179,5,17519,0,10,37,88,4,,,,,,,,,,,,,,,,,
"Вербицкий, Михаил Сергеевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Верещагин, Иван Фёдорович",1,1,0,0,1912,2015,21897,5,56,0,739,0,5,4,66,2,,,,,,,,,,,,,,,,,
"Вершик, Анатолий Моисеевич",1,2,0,0,1833,2009,15343,42,126,5,2605,0,3,22,92,5,,,,,,,298,2935,20,Вершик Анатолий Моисеевич,228,1169,46432,,,,
"Веселовский, Иван Николаевич",0,1,0,0,1892,2012,13368,13,28,0,1085,0,3,33,35,2,,,,,,,,,,,,,,,,,
"Вечтомов, Евгений Михайлович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Викберг, Борис Акселевич",1,1,0,0,1886,2015,16972,4,43,0,279,0,3,4,43,0,,,,,,,,,,,,,,,,,
"Виленкин, Наум Яковлевич",1,2,0,1,1920,2006,10727,46,79,5,6243,0,7,18,31,0,,,,,,,,,,,,,,,,,
"Вильбрехт, Александр Михайлович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Винберг, Эрнест Борисович",1,2,0,0,1937,2011,19042,27,62,4,3792,0,2,14,69,2,,,,,,,81,1390,13,Винберг Эрнест Борисович,50,679,30558,,,,
"Виноградов, Аскольд Иванович",1,1,0,0,1929,2016,2588,3,3,7,179,0,2,2,4,3,,,,,,,17,21,1,Виноградов Аскольд Иванович,48,40,7929,,,,
"Виноградов, Иван Матвеевич",1,4,0,1,1891,2006,27292,121,218,25,12259,0,4,89,100,4,,,,,,,,,,Виноградов Иван Матвеевич ,150,91,12982,,,,
"Виро, Олег Янович",1,62,0,0,1948,2014,4518,4,9,4,492,0,2,3,17,2,,,,,,,31,612,9,Виро Олег Янович	,22,92,8197,,,,
"Висковатов, Василий Иванович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Витт, Александр Адольфович",1,2,0,0,1902,2007,11488,29,87,1,1603,8,7,8,47,0,,,,,,,,,,Витт А А,1,1,113,,,,
"Витушкин, Анатолий Георгиевич",1,3,0,1,1931,2006,8612,36,73,5,1441,0,7,8,39,3,,,,,,,24,106,4,Витушкин Анатолий Георгиевич,22,194,11754,,,,
"Вишик, Марко Иосифович",1,2,0,0,1921,2012,7224,20,68,3,851,0,5,8,37,1,,,,,,,172,3003,20,Вишик Марко Иосифович,64,1141,34812,,,,
"Владимиров, Василий Сергеевич",1,3,0,1,1923,2006,27648,65,136,5,2309,0,7,69,44,4,,,,,,,130,2035,11,Владимиров Василий Сергеевич ,170,705,39800,,,,
"Владиславлев, Сергей Владимирович",0,1,0,0,1883,2011,7591,16,20,0,207,0,2,2,18,2,,,,,,,,,,,,,,,,,
