Франке, Ян: 0.0
Горюнов, Виктор Владимирович: 0.628
Зеленяк, Тадей Иванович: 0.628
Положий, Георгий Николаевич: 0.628
Рахманинов, Иван Иванович: 0.628
Гайшун, Иван Васильевич: 0.628
Федорук, Михаил Петрович: 0.628
Четверушкин, Борис Николаевич: 0.628
Калошин, Вадим Юрьевич: 0.628
Арак, Тайво Викторович: 0.628
Зарипов, Максут Мухаметзянович: 0.628
Шанин, Николай Александрович: 0.638
Крылов, Николай: 0.638
Вечтомов, Евгений Михайлович: 0.638
Владиславлев, Сергей Владимирович: 0.638
Гаджиев, Акиф Джафар оглы: 0.638
Зуховицкий, Семён Израилевич: 0.638
Иманалиев, Мурзабек Иманалиевич: 0.638
Кисляков, Сергей Витальевич: 0.638
Латышев, Виктор Николаевич: 0.638
Лигин, Валериан Николаевич: 0.638
Матвеев, Сергей Владимирович: 0.638
Неймарк, Юрий Исаакович: 0.638
Нехорошев, Николай Николаевич: 0.638
Пальцев, Борис Васильевич: 0.638
Попова, Наталья: 0.638
Рябенький, Виктор Соломонович: 0.638
Сидоров, Анатолий Фёдорович: 0.638
Халилов, Захид Исмаил оглы: 0.638
Шарыгин, Игорь Фёдорович: 0.638
Янков, Вадим: 0.638
Ярошенко, Семён Петрович: 0.638
Полуэктов, Ратмир Александрович: 0.638
Бураго, Дмитрий Юрьевич: 0.638
Касим-Заде, Октай Мурадович: 0.638
Семихатов, Алексей Михайлович: 0.638
Бухштаб, Александр Адольфович: 0.638
Ивочкина, Нина: 0.638
Гущин, Александр Константинович: 0.638
Гурман, Владимир Иосифович: 0.638
Шейнфинкель, Моисей: 0.64
Молев, Александр: 0.64
Черножуков, Виктор Викторович: 0.64
Пономарёв, Лев: 0.641
Герасимов, Вадим: 0.641
